date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict,opponent_1_name_clean,opponent_2_name_clean,opponent_1_name,opponent_1_wins,opponent_1_looses,opponent_1_draws,opponent_1_ko_rate,opponent_1_stance,opponent_1_age,opponent_1_height,opponent_1_reach,opponent_1_country,opponent_2_name,opponent_2_wins,opponent_2_looses,opponent_2_draws,opponent_2_ko_rate,opponent_2_stance,opponent_2_age,opponent_2_height,opponent_2_reach,opponent_2_country,opponent_1_verdict,opponent_2_verdict
26 October 2019,Unknown,Regis Prograis ,Josh Taylor,78,78,57.9,54.4,79.0,75.0,98,79.0,20.41,16.46,0.0,0.0,142.75,97.3,Taylor won via MD in round 12,regis prograis,josh taylor,regis prograis,24.0,1.0,0.0,76.9%,Southpaw,33,5.68 ft (1.73 m),Unknown,United States,Josh Taylor,17.0,0.0,0.0,76.5%,Southpaw,31.0,5.84 ft (1.78 m),69.69 inches (177 cm),United Kingdom,LOSS,WON
19 October 2019,Unknown,Ted Cheesman ,Scott Fitzgerald,66,66,50.9,42.9,64.0,60.0,103,59.0,8.74,15.25,0.0,0.0,68.3,153.5,Fitzgerald won via UD in round 12,ted cheesman,scott fitzgerald,ted cheesman,16.0,2.0,1.0,47.4%,Orthodox,Unknown,Unknown,Unknown,United Kingdom,Scott Fitzgerald,14.0,0.0,0.0,64.3%,Orthodox,30.0,Unknown,Unknown,United Kingdom,LOSS,WON
26 October 2019,Unknown,Dereck Chisora ,David Price,65,65,63.9,65.6,78.0,70.0,252,105.0,8.73,18.1,7.5,20.69,238.35,246.75,Chisora won via TKO in round 4,dereck chisora,david price,dereck chisora,32.0,10.0,0.0,54.8%,Orthodox,38,6.14 ft (1.87 m),74.02 inches (188 cm),United Kingdom,david price,23.0,7.0,0.0,63.3%,Orthodox,39.0,6.66 ft (2.03 m),81.89 inches (208 cm),United Kingdom,WON,LOSS
9 November 2019,Unknown,Olajide William Olatunji ,Logan Paul,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Olatunji won via SD in round 6,olajide william olatunji,logan paul,,33.0,2.0,2.0,45%,Orthodox,34,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,,32.0,2.0,2.0,67%,Orthodox,37.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
22 November 2019,Unknown,Kieran Gething ,Jeff Ofori,51,51,51.7,67.7,53.0,74.0,74,180.0,2.7,74.3,0.0,0.0,0.0,0.0,Draw - 10 round SD decision,kieran gething,jeff ofori,,33.0,0.0,1.0,36%,Southpaw,27,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,,38.0,2.0,1.0,48%,Southpaw,26.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,DRAW,DRAW
2 November 2019,Unknown,Sergey Kovalev ,Saul Alvarez,78,78,61.3,60.7,78.0,85.0,173,391.0,16.76,8.95,5.26,19.4,174.99,153.27,Alvarez won via KO in round 11,sergey kovalev,saul alvarez,sergey kovalev,34.0,4.0,1.0,72.5%,Orthodox,39,6.00 ft (1.83 m),72.44 inches (184 cm),Russian Federation,Saul Alvarez,54.0,1.0,2.0,63.2%,Orthodox,32.0,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,LOSS,WON
22 November 1986,Unknown,Mike Tyson ,Trevor Berbick,82,82,56.8,60.4,80.0,82.0,74,253.0,33.78,72.4,30.0,2.78,355.57,213.29,Tyson won via TKO in round 2,mike tyson,trevor berbick,mike tyson,50.0,6.0,0.0,74.6%,Orthodox,56,5.84 ft (1.78 m),70.87 inches (180 cm),United States,trevor berbick,49.0,11.0,1.0,54.1%,Orthodox,68.0,6.17 ft (1.88 m),77.95 inches (198 cm),Canada,WON,LOSS
30 October 1974,Unknown,George Foreman ,Muhammad Ali,83,83,61.6,70.6,81.0,87.0,120,365.0,30.83,71.0,0.0,0.0,213.42,201.63,Ali won via KO in round 8,george foreman,muhammad ali,george foreman,76.0,5.0,0.0,84%,Orthodox,73,6.30 ft (1.92 m),78.35 inches (199 cm),United States,muhammad ali,56.0,5.0,0.0,60.7%,Orthodox,80.0,6.27 ft (1.91 m),77.95 inches (198 cm),United States,LOSS,WON
26 July 1986,Unknown,Mike Tyson ,Marvis Frazier,82,82,54.5,58.1,79.0,76.0,61,106.0,36.07,66.9,10.7,5.88,342.78,405.34,Tyson won via TKO in round 1,mike tyson,marvis frazier,mike tyson,50.0,6.0,0.0,74.6%,Orthodox,56,5.84 ft (1.78 m),70.87 inches (180 cm),United States,,39.0,1.0,0.0,66%,Orthodox,32.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
6 April 1987,Unknown,Sugar Ray Leonard ,Marvin Hagler,73,73,66.9,62.0,82.0,89.0,244,386.0,9.84,13.47,0.0,0.0,151.51,177.35,Leonard won via SD in round 12,sugar ray leonard,marvin hagler,sugar ray leonard,36.0,3.0,1.0,62.5%,Orthodox,66,5.84 ft (1.78 m),74.02 inches (188 cm),United States,marvin hagler,62.0,3.0,2.0,77.6%,Southpaw,68.0,5.81 ft (1.77 m),75.20 inches (191 cm),United States,WON,LOSS
27 June 1988,Unknown,Mike Tyson ,Michael Spinks,83,83,61.8,65.3,82.0,83.0,119,225.0,25.21,9.33,0.0,0.0,369.29,321.86,Tyson won via KO in round 1,mike tyson,michael spinks,mike tyson,50.0,6.0,0.0,74.6%,Orthodox,56,5.84 ft (1.78 m),70.87 inches (180 cm),United States,michael spinks,31.0,1.0,0.0,65.6%,Orthodox,66.0,6.20 ft (1.89 m),75.98 inches (193 cm),United States,WON,LOSS
5 December 2008,Unknown,Raul Pinzon ,Saul Alvarez,70,70,39.6,41.1,72.0,71.0,60,129.0,25.0,11.63,0.0,0.0,149.6,156.18,Alvarez won via TKO in round 1,raul pinzon,saul alvarez,,12.0,4.0,2.0,76%,Southpaw,33,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,Saul Alvarez,54.0,1.0,2.0,63.2%,Orthodox,32.0,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,LOSS,WON
20 April 2002,Unknown,Jose Luis Castillo ,Floyd Mayweather Jr,79,79,50.9,61.0,75.0,80.0,230,154.0,17.83,12.99,8.0,5.9,180.4,130.9,Mayweather Jr won via UD in round 12,jose luis castillo,floyd mayweather jr,jose luis castillo,66.0,13.0,1.0,71.3%,Orthodox,48,5.61 ft (1.71 m),68.90 inches (175 cm),Mexico,floyd mayweather jr,50.0,0.0,0.0,52.9%,Orthodox,45.0,5.68 ft (1.73 m),72.05 inches (183 cm),United States,LOSS,WON
6 December 2008,Unknown,Bela Gyongyosi ,Tyson Fury,45,45,52.1,77.7,43.0,61.7,56,244.0,1.79,72.7,28.57,38.1,182.69,66.3,Fury won via TKO in round 1,bela gyongyosi,tyson fury,,34.0,4.0,1.0,51%,Southpaw,26,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,tyson fury,30.0,0.0,1.0,65.6%,Orthodox,34.0,6.76 ft (2.06 m),85.04 inches (216 cm),United Kingdom,LOSS,WON
